awalnya ragu pas sudah daftar akhirnya bisa transfer ke keluarga maupun teman	4,5 ONBOARDING_KYC 2 -1,-1	7,8 TRANSACTION_TRANSFER 2 -1,-1
bagus sebuah terbaik	-1,-1 FEATURES_PRODUCT 2 2,3
mantap sangat aplikasi ini mudah digunakan sehari hari	-1,-1 UI_UX_DESIGN 2 4,6
cocok untuk investasi pemula seperti aku pokoknya terbaik deh	2,3 FEATURES_PRODUCT 2 7,8
bisa jadi tabungan daring masa kini	2,3 FEATURES_PRODUCT 2 -1,-1
transfer ke mana pun biaya administrasi nya gratis loh	0,1 TRANSACTION_TRANSFER 2 -1,-1	4,6 FEES_CHARGES 2 7,8
aplikasi bank digital yang sangat lengkap	-1,-1 FEATURES_PRODUCT 2 5,6
mudah dan praktis	-1,-1 UI_UX_DESIGN 2 0,1
bisa dibuat untuk tabungan daring untuk yang sedang merencanakan budgeting keuangan untuk pernikahan dan rumah tangga	3,4 FEATURES_PRODUCT 2 -1,-1	9,10 FEATURES_PRODUCT 2 -1,-1
didalam nya lengkap bisa pembayaran listrik	4,5 TRANSACTION_TRANSFER 2 2,3	5,6 TRANSACTION_TRANSFER 2 -1,-1
tabungan daring yang mudah digunakan sehari hari dengan bunga deposito yang sedikit	0,1 FEATURES_PRODUCT 2 3,5	8,10 INTEREST_RETURNS 2 -1,-1
neo memudahkan tabungan online	2,3 FEATURES_PRODUCT 2 -1,-1
praktis	-1,-1 UI_UX_DESIGN 2 0,1
aman	-1,-1 SECURITY_FRAUD 2 0,1
dan nyaman digunakan setiap hari	-1,-1 FEATURES_PRODUCT 2 1,2
aplikasi ini sangat bagus dan bermanfaat cocok sangat untuk investasi untuk pemula	9,10 FEATURES_PRODUCT 2 5,6
simpanan daring yang bagus banget	-1,-1 FEATURES_PRODUCT 2 3,4
aplikasi nya mudah sangat digunakan khususnya panduan investasi untuk pemula dalam memulai investasi yang mudah	7,8 FEATURES_PRODUCT 2 14,15
aman	-1,-1 SECURITY_FRAUD 2 0,1
bunga gede	0,1 INTEREST_RETURNS 2 -1,-1
bank neo bagus	-1,-1 FEATURES_PRODUCT 2 2,3
pengalaman yang sangat luar biasa bisa mengetahui aplikasi sebagus ini	-1,-1 FEATURES_PRODUCT 2 3,5
sangat puas menggunakan bnc	-1,-1 FEATURES_PRODUCT 2 0,2
proses pembukaan tabungan daring tidak rumit dan langsung aktif	2,3 FEATURES_PRODUCT 2 5,6
bunga cair harian	0,1 INTEREST_RETURNS 2 -1,-1
bagus aplikasi nya sangat mudah di pahami bahwa aplikasi sangat layak itu di gunakan bahkan bunga deposito nya sangat mudah di pahami dan jelas	15,17 INTEREST_RETURNS 2 18,20
suka sangat sama layanan tabungan daring ini	3,4 FEATURES_PRODUCT 2 0,1
solusi tepat untuk yang mencari tabungan digital bunga tinggi	5,6 FEATURES_PRODUCT 2 0,1	7,8 INTEREST_RETURNS 2 7,9
promo deposito wow bikin aku langsung ketagihan buka deposito online	0,1 PROMO_MARKETING 2 -1,-1	1,2 INTEREST_RETURNS 2 -1,-1
menaruh dana di deposito bank digital ini memberikan persentase bunga deposito harian yang maksimal	9,11 INTEREST_RETURNS 2 -1,-1
sekaligus jadi solusi belajar investasi paling simpel untuk pemula	4,5 FEATURES_PRODUCT 2 6,7
untuk yang mau investasi untuk pemula lebih baik di bank neo aja	3,4 FEATURES_PRODUCT 2 -1,-1
semuanya bagus sangat	-1,-1 FEATURES_PRODUCT 2 1,2
aplikasi ini cocok sangat untuk investasi untuk pemula	5,6 FEATURES_PRODUCT 2 -1,-1
tidak ribet	-1,-1 UI_UX_DESIGN 2 1,2
tampilannya juga nyaman dilihat jadi makin semangat nabung	-1,-1 FEATURES_PRODUCT 2 2,3
suka banget nabung di sini	-1,-1 FEATURES_PRODUCT 2 0,1
cuma di sini tabungan digital yang bunga nya tinggi	3,4 FEATURES_PRODUCT 2 -1,-1	6,7 INTEREST_RETURNS 2 8,9
daftar nya pun tidak lama 5 menit langsung bisa masuk	0,1 ONBOARDING_KYC 2 4,5
cocok untuk yang ingin mengatur tabungan secara lebih mudah dan modern	5,6 FEATURES_PRODUCT 2 8,9
prosesnya mudah	-1,-1 UI_UX_DESIGN 2 1,2
tampilannya sederhana	-1,-1 FEATURES_PRODUCT 2 1,2
dan informasi saldo serta transaksi bisa dicek dengan praktis	1,3 NOTIFICATION_INFO 2 -1,-1	4,5 TRANSACTION_TRANSFER 2 8,9
tabungan daring ini bagus untuk jangka panjang kedepan nya dan ya cukup lumayan untuk fitur2 dan lain nya	0,1 FEATURES_PRODUCT 2 3,4
aman terpercaya	-1,-1 SECURITY_FRAUD 2 1,2
bunga bersaing	0,1 INTEREST_RETURNS 2 -1,-1
teman aku bilang di sini aman bisa deposit bank digital makanya aku langsung coba	-1,-1 SECURITY_FRAUD 2 5,6
menawarkan suku bunga tabungan dan deposito yang menarik dibandingkan bank konvensional	1,3 INTEREST_RETURNS 2 -1,-1	3,4 FEATURES_PRODUCT 2 -1,-1	5,6 INTEREST_RETURNS 2 7,8
investasi untuk pemula iya	0,1 FEATURES_PRODUCT 2 -1,-1
dengan bank atau tabungan daring ini	3,4 FEATURES_PRODUCT 2 -1,-1
aku bisa lebih mudah menabung dan lebih gampang	-1,-1 UI_UX_DESIGN 2 3,4
bagus sangat aku suka	-1,-1 FEATURES_PRODUCT 2 3,4
aplikasi nya bagus sangat aku suka dengan aplikasi ini	-1,-1 FEATURES_PRODUCT 2 5,6
neo bank sangat membantu aku karena aku bisa menabung daring disini dan disini juga aku bisa menjtipkan uang	-1,-1 FEATURES_PRODUCT 2 2,4
aplikasi yang sangat lengkap cocok juga untuk investasi pemula suka	7,8 FEATURES_PRODUCT 2 3,4
konsisten pakai deposito wow dari neo bank karena mengasih bunga yang tinggi	2,3 INTEREST_RETURNS 2 0,1	9,10 INTEREST_RETURNS 2 11,12
lumayan sangat untuk taruh tabungan dan tidak terpotong biaya administrasi	4,5 FEATURES_PRODUCT 2 -1,-1	8,10 FEES_CHARGES 2 7,8
aplikasi ini lengkap dan mudah sangat untuk sehari hari	-1,-1 UI_UX_DESIGN 2 2,3
transaksi lancar	0,1 TRANSACTION_TRANSFER 2 1,2
untuk tabungan daring juga bagus sangat bunga juga tinggi	1,2 FEATURES_PRODUCT 2 -1,-1	6,7 INTEREST_RETURNS 2 4,5
direkomendasikan sangat deh pokoknya	-1,-1 FEATURES_PRODUCT 2 0,1
aplikasi bagus untuk menabung dan transaksi	5,6 TRANSACTION_TRANSFER 2 1,2
aplikasi ini cocok sangat untuk investasi bagi pemula dengan deposit yang mudah dan promo yang menunggu kamu	5,6 FEATURES_PRODUCT 2 -1,-1	13,14 PROMO_MARKETING 2 11,12
neo bank adalah salah satu platform tabungan daring masa kini yang sangat mudah digunakan	6,7 FEATURES_PRODUCT 2 11,13
tampilan simple dengan fitur yang lengkap	0,1 UI_UX_DESIGN 2 -1,-1	3,4 FEATURES_PRODUCT 2 5,6
investasi untuk pemula di bank neo sangat cocok karena prosesnya simpel	0,1 FEATURES_PRODUCT 2 -1,-1
mulai dari nominal kecil	-1,-1 FEATURES_PRODUCT 1 3,4
dan biarkan keuntungan tumbuh bersama waktu	2,3 INTEREST_RETURNS 2 -1,-1
bankneo memang bagus sih top up dapat khasback bayar cicilan dapat potongan beli kouta juga murah sangat teman	4,6 TRANSACTION_TRANSFER 2 2,3	9,10 FEATURES_PRODUCT 2 -1,-1	11,12 FEES_CHARGES 2 15,16
terimakasih bankneo e - commerce	2,5 TRANSACTION_TRANSFER 2 -1,-1
deposit wow bagus sekali sangat bagus	-1,-1 FEATURES_PRODUCT 2 4,6
cepat diproses bagus	-1,-1 FEATURES_PRODUCT 2 2,3
aku lihat di iklan aplikasi nya bagus	3,4 PROMO_MARKETING 2 6,7
tidak ada biaya administrasi	2,4 FEES_CHARGES 2 0,3
dan cukup nyaman dan aman menyimpan uang di sini	-1,-1 SECURITY_FRAUD 2 4,5
jadi ayo cepat nabung neobank	-1,-1 FEATURES_PRODUCT 2 2,3
deposito wow	0,1 INTEREST_RETURNS 2 -1,-1
sangat membantu untuk pemula	-1,-1 FEATURES_PRODUCT 2 0,2
akhirnya nemu tabungan daring yang benar - benar ngebantu	2,3 FEATURES_PRODUCT 2 -1,-1
neo bank praktis	-1,-1 UI_UX_DESIGN 2 2,3
direkomendasikan	-1,-1 FEATURES_PRODUCT 2 0,1
dan bunga nya bersaing	1,2 INTEREST_RETURNS 2 -1,-1
tabungan daring yang cocok untuk pemula	0,1 FEATURES_PRODUCT 2 -1,-1
rekomendasi sangat ini keren	-1,-1 FEATURES_PRODUCT 2 3,4
neobank paling bagus sejagat raya	-1,-1 FEATURES_PRODUCT 2 2,3
aku dari dulu akting nyimpan uang di neobank aman nyaman terkendali	-1,-1 SECURITY_FRAUD 2 8,9
aplikasi investasi untuk pemula yang harus di coba	1,2 FEATURES_PRODUCT 2 -1,-1
aplikasi yang sangat bagus yang tidak boleh terlewatkan	-1,-1 FEATURES_PRODUCT 2 2,4
sangat baik dan bunga menambah terus menerus	3,4 INTEREST_RETURNS 2 -1,-1
aplikasi ini sangat lengkap dan cocok untuk pengguna bila ingin investasi untuk pemula	10,11 FEATURES_PRODUCT 2 -1,-1
bagus sangat dan mudah dipergunakan	-1,-1 UI_UX_DESIGN 2 3,4
aplikasi ini sangat bagus untuk investasi untuk pemula karena proses buka deposito daring dan tabungan daring sangat praktis serta aman	5,6 FEATURES_PRODUCT 2 2,4	11,12 INTEREST_RETURNS 2 -1,-1	14,15 FEATURES_PRODUCT 2 19,20
lalu teman menyarankan neobang untuk tabungan online	5,6 FEATURES_PRODUCT 2 -1,-1
pas coba aplikasi nya ternyata mudah sekali digunakan	-1,-1 UI_UX_DESIGN 2 5,6
pokoknya aplikasi nya memudahkan untuk transaksi dan lain2 deh bagus sangat	5,6 TRANSACTION_TRANSFER 2 9,10
deposito wow	0,1 INTEREST_RETURNS 2 -1,-1
pilihan menarik untuk menyimpan dana dengan aman dan terencana	-1,-1 UI_UX_DESIGN 2 6,7
aplikasi ini sangat praktis untuk membuka tabungan daring dengan bunga tinggi dan bebas biaya transaksi	6,7 FEATURES_PRODUCT 2 2,4	9,10 INTEREST_RETURNS 2 9,11	13,14 FEES_CHARGES 2 12,14	14,15 TRANSACTION_TRANSFER 2 -1,-1
aplikasi yang bagus	-1,-1 FEATURES_PRODUCT 2 2,3
aplikasi tabungan daring yang cocok sangat untuk orang yang baru mau mulai menabung	1,2 FEATURES_PRODUCT 2 -1,-1
dan mudah digunakan untuk sehari hari	-1,-1 UI_UX_DESIGN 2 1,3
aplikasi sangat bagus	-1,-1 FEATURES_PRODUCT 2 1,3
mudah digunakan	-1,-1 UI_UX_DESIGN 2 0,2
aplikasi sangat mudah digunakan untuk pemula dan cocok sangat ini aplikasi investasi untuk pemula	11,12 FEATURES_PRODUCT 2 -1,-1
tabungan digital bunga tinggi bagus untuk investasi uang berjangka disini dan mudah digunakan bagus	0,1 FEATURES_PRODUCT 2 -1,-1	2,3 INTEREST_RETURNS 2 2,4	6,7 FEATURES_PRODUCT 2 11,13
tabungan deposito masa depan	0,1 FEATURES_PRODUCT 2 -1,-1	1,2 INTEREST_RETURNS 2 -1,-1
tabungan daring paling mudah di pahami untuk pemula yang mau nabung pokoknya terbaik deh ini neobank	0,1 FEATURES_PRODUCT 2 3,4
cocok sangat bagi kalian yang ingin mulai investasi dengan keuntungan tinggi	7,8 FEATURES_PRODUCT 2 -1,-1	9,10 INTEREST_RETURNS 2 10,11
kalian kalau mau instal aplikasi neo tidak akan menyesal deh	-1,-1 FEATURES_PRODUCT 2 8,9
mudah di gunakan juga	-1,-1 UI_UX_DESIGN 2 0,1
bayar listrik	1,2 TRANSACTION_TRANSFER 2 -1,-1
pulsa dan lain - lain semua ada	0,1 TRANSACTION_TRANSFER 2 -1,-1
fitur lengkap dan sangat membantu	0,1 FEATURES_PRODUCT 2 3,5
direkomendasikan sangat	-1,-1 FEATURES_PRODUCT 2 0,1
aku sangat suka dengan aplikasi bank neo	-1,-1 FEATURES_PRODUCT 2 1,3
apk untuk tabungan daring bagus	2,3 FEATURES_PRODUCT 2 4,5
dengan proses cara yang mudah	-1,-1 UI_UX_DESIGN 2 4,5
serta bunga deposito yang besar	1,3 INTEREST_RETURNS 2 4,5
bank digital paling rocomended untuk pemula yang ingin membuka deposito daring	9,10 INTEREST_RETURNS 2 -1,-1
aplikasi keuangan terbaik yang pernah aku coba	-1,-1 FEATURES_PRODUCT 2 2,3
tampilannya simpel dan pas sangat jadi pilihan investasi untuk pemula yang mau belajar mengelola uang	7,8 FEATURES_PRODUCT 2 1,2
aplikasi neo bank ini sangat praktis	-1,-1 UI_UX_DESIGN 2 4,6
proses verifikasi data diri dan pendaftaran akun sepenuhnya lewat ponsel tanpa harus datang ke kantor fisik	1,3 ONBOARDING_KYC 2 -1,-1	5,6 ONBOARDING_KYC 2 -1,-1
neobank bagus sangat untuk tabungan digital bunga tinggi daftarnya cepat dan bunga nya lumayan untuk pemula	4,5 FEATURES_PRODUCT 2 1,2	6,7 INTEREST_RETURNS 2 6,8
proses buka deposito daring di neobank sangat cepat dan praktis	2,3 INTEREST_RETURNS 2 6,8
ditambah penawaran bunga depositonya kompetitif dan menguntungkan	2,3 INTEREST_RETURNS 2 6,7
aplikasi lengka dan sangat mudah untung membuat tabungan daring	7,8 FEATURES_PRODUCT 2 3,5
cocok sangat untuk yang mau investasi untuk pemula aplikasi nya mudah digunakan dan praktis layak itu sangat pokoknya untuk pemula	5,6 FEATURES_PRODUCT 2 10,12
ternyata tabungan digital bunga tinggi di bank neo cukup menarik	1,2 FEATURES_PRODUCT 2 -1,-1	3,4 INTEREST_RETURNS 2 3,5
dan mudah digunakan	-1,-1 UI_UX_DESIGN 2 1,3
suka banget sama nih apk	-1,-1 FEATURES_PRODUCT 2 0,1
bunga nya juga tinggi	0,1 INTEREST_RETURNS 2 3,4
aplikasi sangat membantu untuk menabung online	-1,-1 FEATURES_PRODUCT 2 1,3
mudah digunakan	-1,-1 UI_UX_DESIGN 2 0,2
aman	-1,-1 SECURITY_FRAUD 2 0,1
disini tabungan digital bunga tinggi dan deposito nya wow banget	1,2 FEATURES_PRODUCT 2 -1,-1	3,4 INTEREST_RETURNS 2 3,5	6,7 INTEREST_RETURNS 2 -1,-1
tabungan daring memudahkan aku menyimpan uang secara praktis	0,1 FEATURES_PRODUCT 2 -1,-1
aman	-1,-1 SECURITY_FRAUD 2 0,1
dan mudah dipantau kapan saja melalui ponsel	-1,-1 UI_UX_DESIGN 2 1,2
aplikasi ini sangat bagus untuk berinvestasi	-1,-1 FEATURES_PRODUCT 2 2,4
untuk pemula yang mau investasi bisa sangat mencoba neo bank ini karena mudah dan mudah dipahami	4,5 FEATURES_PRODUCT 2 -1,-1
aplikasi nya sangat bagus suka	-1,-1 FEATURES_PRODUCT 2 4,5
kalau mau punya tabungan daring nabung di neobank saja	3,4 FEATURES_PRODUCT 2 -1,-1
aplikasi bagus	-1,-1 FEATURES_PRODUCT 2 1,2
banyak promo promo nya	1,2 PROMO_MARKETING 2 -1,-1
dan koin nya juga banyak bisa di tukar uang	1,2 INTEREST_RETURNS 2 -1,-1
ajukan pinjaman juga bisa	1,2 FEATURES_PRODUCT 2 -1,-1
transfer lebih muda	0,1 TRANSACTION_TRANSFER 2 -1,-1
suka dan mudah dipelajari	-1,-1 UI_UX_DESIGN 2 0,1
apalagi aku suka deposit wow dan deposit daring suka	-1,-1 FEATURES_PRODUCT 2 2,3
aplikasi yang cocok untuk investasi untuk pemula karena tampilannya sederhana	4,5 FEATURES_PRODUCT 2 9,10
mudah dipahami	-1,-1 UI_UX_DESIGN 2 0,1
dan membantu belajar mengatur keuangan dengan nyaman	-1,-1 FEATURES_PRODUCT 2 1,2
tabungan daring paling terpercaya yang aku punya	0,1 FEATURES_PRODUCT 2 3,4
cepat dan praktis untuk kehidupan gen - z yang sekarang	-1,-1 UI_UX_DESIGN 2 0,1
daftar nya mudah sekali tidak sulit cukup pakai ponsel secara online	0,1 ONBOARDING_KYC 2 5,6
tiap hari ada tabungan dan juga bisa cair	3,4 FEATURES_PRODUCT 2 -1,-1
mau dipakai transfer kerekening lain juga grtis tanpa admin	2,3 TRANSACTION_TRANSFER 2 -1,-1	8,9 CUSTOMER_SERVICE 2 -1,-1
tidak rumit pokoknya	-1,-1 UI_UX_DESIGN 2 1,2
tabungan daring terbaik	0,1 FEATURES_PRODUCT 2 2,3
neo bikin nabung jadi mudah dan cuan	-1,-1 UI_UX_DESIGN 2 4,5
tabungan daring aplikasi ini mudah sangat di gunakan untuk sehari hari	0,1 FEATURES_PRODUCT 2 4,5
pakai tabungan daring disini bikin uang aman	1,2 FEATURES_PRODUCT 2 6,7
jadi tidak mudah khilaf untuk jajan	-1,-1 UI_UX_DESIGN 1 2,3
investasi untuk pemula yang aman	0,1 FEATURES_PRODUCT 2 4,5
tabungan digital bunga tinggi	0,1 FEATURES_PRODUCT 2 -1,-1	2,3 INTEREST_RETURNS 2 2,4
tabungan daring ini sangat rekomendasi bunga nya sangat tinggi dan baik digunakan	0,1 FEATURES_PRODUCT 2 -1,-1	5,6 INTEREST_RETURNS 2 8,9
suka sangat aku sama aplikasi ini tidak rumit dan mudah di pahami	-1,-1 UI_UX_DESIGN 2 0,1
sangat cocok bagi investasi pemula	3,4 FEATURES_PRODUCT 2 -1,-1
aplikasi ini menyediakan banyak fitur yang sangat mudah di akses dan dipelajari oleh pengguna baru yang baru berkecimpung di dunia keuangan maupun bagi yang sudah lama berada di dunia keuangan	4,5 FEATURES_PRODUCT 2 6,8
tabungan digital tinggi	0,1 FEATURES_PRODUCT 2 2,3
prosesnya mudah dan cocok untuk mulai belajar mengatur keuangan	-1,-1 UI_UX_DESIGN 2 1,2
sangat bagus dan praktis aku suka sekali dan sengar direkomendasikan	-1,-1 UI_UX_DESIGN 2 9,10
aplikasi nya bagus dan praktis	-1,-1 UI_UX_DESIGN 2 2,3
fitur nabung daring nya keren	0,1 FEATURES_PRODUCT 2 4,5
bunga cair harian jadi saldo menambah terus	0,1 INTEREST_RETURNS 2 -1,-1	4,5 NOTIFICATION_INFO 2 -1,-1
transfer ke bank lainnya juga gratis	0,1 TRANSACTION_TRANSFER 2 5,6
aplikasi yang asyik sangat untuk pemula belajar investasi dan nabung tanpa ribet	7,8 FEATURES_PRODUCT 2 11,12
bunga cair tiap hari lagi	0,1 INTEREST_RETURNS 2 -1,-1
tabungan daring menjadi pilihan praktis untuk menyimpan uang sekaligus mendapatkan keuntungan bunga menarik	0,1 FEATURES_PRODUCT 2 4,5	10,11 INTEREST_RETURNS 2 -1,-1	11,12 INTEREST_RETURNS 2 12,13
aplikasi digital yang sangat bagus	-1,-1 FEATURES_PRODUCT 2 3,5
dan sangat mudah untuk membuka rekening tabungan daring	6,7 FEATURES_PRODUCT 2 1,3
aplikasi bagus untuk menabung online	-1,-1 FEATURES_PRODUCT 2 1,2
bunga digital tinggi	0,1 INTEREST_RETURNS 2 2,3
deposito wow	0,1 INTEREST_RETURNS 2 -1,-1
bunga deposito	0,2 INTEREST_RETURNS 2 -1,-1
dan bagus untuk investasi bagi pemula	3,4 FEATURES_PRODUCT 2 1,2
kalau mau hidup lebih hemat dan tidak ribet	-1,-1 FEES_CHARGES 2 7,8
mencoba saja tabungan daring di aplikasi ini	2,3 FEATURES_PRODUCT 2 -1,-1
ternyata ada ya tabungan digital yang bunga lumayan	3,4 FEATURES_PRODUCT 2 -1,-1	6,7 INTEREST_RETURNS 2 -1,-1
banyak banget kecewa suka	-1,-1 FEATURES_PRODUCT 1 2,3
pengalaman tabungan daring sangat praktis	1,2 FEATURES_PRODUCT 2 3,5
proses mudah	-1,-1 UI_UX_DESIGN 2 1,2
aman	-1,-1 SECURITY_FRAUD 2 0,1
aku sedang mencari - cari aplikasi untuk belajar investasi dan deposito	8,9 FEATURES_PRODUCT 2 -1,-1	10,11 INTEREST_RETURNS 2 -1,-1
lengkap mudah praktis ini aplikasi cocok untuk investasi pemula tambah ada tabungan daring nya jadi bisa sekalian nabung di ponsel	7,8 FEATURES_PRODUCT 2 1,2	11,12 FEATURES_PRODUCT 2 -1,-1
buka deposit daring sangat mudah	-1,-1 UI_UX_DESIGN 2 3,5
aplikasi lengkap dan mudah sangat untuk sehari - hari dan kemudahan qris dan promo selalu bikin sayang sayang sangat	11,12 TRANSACTION_TRANSFER 2 -1,-1	13,14 PROMO_MARKETING 2 -1,-1
suka sangat sama aplikasi neobank aplikasi sangat lengkap	-1,-1 FEATURES_PRODUCT 2 7,8
mulai dari tabungan online	2,3 FEATURES_PRODUCT 2 -1,-1
bunga deposito suka	0,2 INTEREST_RETURNS 2 2,3
awalnya masih awam soal investasi	4,5 FEATURES_PRODUCT 2 -1,-1
setelah coba aplikasi ini jadi lebih mudah untuk mengerti dasar - dasarnya	-1,-1 UI_UX_DESIGN 2 6,7
mudah sangat buka deposito daring lewat aplikasi neobank	3,4 INTEREST_RETURNS 2 0,1
lengkap juga menu pembayarannya antri rumit hihi	2,3 UI_UX_DESIGN 2 5,6
pertama kali aku pakai ini itu bagus sangat terus tidak pakai administrasi juga aku suka sama ini aplikasi	11,12 FEES_CHARGES 2 6,7
aplikasi bank digital neo bank terbaik	-1,-1 FEATURES_PRODUCT 2 5,6
bebas biaya administrasi	1,3 FEES_CHARGES 2 0,2
bunga tinggi	0,1 INTEREST_RETURNS 2 0,2
dan transaksi harian sangat aman praktis dan	1,2 TRANSACTION_TRANSFER 2 5,6
fitur lengkap	0,1 FEATURES_PRODUCT 2 1,2
tampilan simpel	0,1 UI_UX_DESIGN 2 1,2
dan layanan perbankan digital terbaik yang sangat direkomendasikan	1,2 FEATURES_PRODUCT 2 7,8
aplikasi ini sangat bagus dan banyak fitur cocok sangat untuk kalian coba ini	6,7 FEATURES_PRODUCT 2 2,4
tabungan daring yang praktis dan mudah digunakan	0,1 FEATURES_PRODUCT 2 5,7
prosesnya cepat	-1,-1 FEATURES_PRODUCT 2 1,2
serta tampilannya juga simpel	-1,-1 UI_UX_DESIGN 2 3,4
menu - menunya mudah ditemukan dan proses transaksi terasa praktis	0,1 UI_UX_DESIGN 2 3,4	7,8 TRANSACTION_TRANSFER 2 9,10
aplikasi lumayan membantu	-1,-1 FEATURES_PRODUCT 2 2,3
tidak bisa memverifikasi wajah	3,4 AUTH_ACCESS 0 0,2
enggak pernah ditutup akun tiba meminta login lagiana ada uangnya 900rb sialan	6,7 AUTH_ACCESS 0 -1,-1
aplikasi ini lengkap dan sangat mudah untuk digunakan sehari hari	-1,-1 UI_UX_DESIGN 2 4,6
udah begitu ada kemudahan bisa qris dan ada banyak promo lainnya	5,6 TRANSACTION_TRANSFER 2 -1,-1	9,10 PROMO_MARKETING 2 -1,-1
neobank menurut aku tabungan digital bunga tinggi dan sangat mudah di gunakan	3,4 FEATURES_PRODUCT 2 -1,-1	5,6 INTEREST_RETURNS 2 8,10
aplikasi ini bagus bgt	-1,-1 FEATURES_PRODUCT 2 2,3
bunga tabungan nya tinggi dan bebas transfer antar bank	0,2 INTEREST_RETURNS 2 3,4	6,7 TRANSACTION_TRANSFER 2 -1,-1
tabungan digital bunga tinggi yang rekomen sangat untuk yang mau deposito	0,1 FEATURES_PRODUCT 2 -1,-1	2,3 INTEREST_RETURNS 2 2,4	10,11 INTEREST_RETURNS 2 -1,-1
terpercaya dan sangat mudah dipakai	-1,-1 SECURITY_FRAUD 2 2,4
aku sudah pakai aplikasi ini untuk tabungan online	6,7 FEATURES_PRODUCT 2 -1,-1
tidak pernah ada masalah apapun selama pemakaian	-1,-1 FEATURES_PRODUCT 1 0,2
ini sangat bagus	-1,-1 FEATURES_PRODUCT 2 1,3
tabungan daring ini sangat praktis	0,1 FEATURES_PRODUCT 2 3,5
aman	-1,-1 SECURITY_FRAUD 2 0,1
mudah digunakan	-1,-1 UI_UX_DESIGN 2 0,2
dan membantu mengatur keuangan untuk kebutuhan sehari - hari	-1,-1 FEATURES_PRODUCT 2 1,2
buka deposito daring sangat mudah dan cepat serta banyak keuntungan menarik lainnya ayo buruan dowload sekarang juga	1,2 INTEREST_RETURNS 2 3,5	9,10 INTEREST_RETURNS 2 6,7
suka pakai neobank karena tabungan online - nya mudah sangat diakses	4,5 FEATURES_PRODUCT 2 0,1
fitur lengkap	0,1 FEATURES_PRODUCT 2 1,2
dan penggunaannya juga tidak ribet	-1,-1 UI_UX_DESIGN 2 4,5
aplikasi ini mudah di gunakan dan juga bagus untuk pemula yang baru memulai investasi untuk pemula	13,14 FEATURES_PRODUCT 2 7,8
tabungan daring ini praktis digunakan	0,1 FEATURES_PRODUCT 2 3,4
prosesnya mudah	-1,-1 UI_UX_DESIGN 2 1,2
aman	-1,-1 SECURITY_FRAUD 2 0,1
dan cocok untuk menyimpan uang secara fleksibel	-1,-1 FEATURES_PRODUCT 2 6,7
aplikasi ini praktis dan mudah digunakan untuk kebutuhan tabungan online	8,9 FEATURES_PRODUCT 2 4,6
tampilan sederhana	0,1 UI_UX_DESIGN 2 1,2
prosesnya cukup cepat	-1,-1 FEATURES_PRODUCT 2 2,3
dan fitur tabungan digitalnya membantu pengguna mengatur keuangan dengan lebih mudah	1,2 FEATURES_PRODUCT 2 -1,-1
cocok untuk pemula yang ingin mulai mengenal layanan keuangan digital	7,8 FEATURES_PRODUCT 2 -1,-1
tidak menyesal pakai aplikasi neobank ini	-1,-1 FEATURES_PRODUCT 2 1,3
tabungan daring yang sangat bagus	0,1 FEATURES_PRODUCT 2 3,5
bisa deposit juga dan dapat bunga tinggi	5,6 INTEREST_RETURNS 2 5,7
tabungan digital bunga tinggi	0,1 FEATURES_PRODUCT 2 -1,-1	2,3 INTEREST_RETURNS 2 2,4
aku suka karena tabungan daring terasa praktis	3,4 FEATURES_PRODUCT 2 1,2
aplikasi mudah dipahami	-1,-1 UI_UX_DESIGN 2 1,2
aplikasi ini bagus dan sangat membantu aku dengan mudah	-1,-1 UI_UX_DESIGN 2 4,6
ini salah satu dompet digital saya yang aku pakai terus	3,5 TRANSACTION_TRANSFER 2 -1,-1
biarlah bintang yang berbicara senang senang	-1,-1 FEATURES_PRODUCT 2 4,5
neo bank adalah tabungan daring terbaik yang pernah aku temui	3,4 FEATURES_PRODUCT 2 5,6
akses sangat mudah dan dapat digunakan kapan saja	-1,-1 UI_UX_DESIGN 2 1,3
investasi untuk pemula sangat bagus dengan aplikasi ini	0,1 FEATURES_PRODUCT 2 3,5
terpercaya dan sangat aman	-1,-1 SECURITY_FRAUD 2 2,4
aplikasi digital dengan bunga yang tinggi	3,4 INTEREST_RETURNS 2 5,6
aplikasi ini praktis digunakan untuk kebutuhan tabungan online	6,7 FEATURES_PRODUCT 2 2,3
tampilannya sederhana dan fitur cukup lengkap	3,4 FEATURES_PRODUCT 2 5,6
aplikasi yang cocok untuk transaksi dan untuk sehari hari	4,5 TRANSACTION_TRANSFER 2 -1,-1
wajib gunain bank ne9 selain mudah dan friendly untuk investasi pemula seperti saya	9,10 FEATURES_PRODUCT 2 5,6
aplikasi ini bener - bener solusi tabungan daring yang fleksibel	6,7 FEATURES_PRODUCT 2 9,10
direkomendasikan sangat untuk yang mau punya rekening tambahan tanpa repot	-1,-1 FEATURES_PRODUCT 2 0,1
dan fitur lengkap dari bayar tagihan sampai atur pos keuangan	1,2 FEATURES_PRODUCT 2 2,3	4,6 TRANSACTION_TRANSFER 2 -1,-1
aman karena sudah terdaftar di ojk	5,6 SECURITY_FRAUD 2 0,1
aplikasi tabungan daring terbaik seindonesia cocok untuk investasi untuk pemula	1,2 FEATURES_PRODUCT 2 3,4	7,8 FEATURES_PRODUCT 2 -1,-1
aku suka sekali aplikasi ini	-1,-1 FEATURES_PRODUCT 2 1,2
